firstName,lastName,birthDate,post
"Marietta","Carson","21.04.1980","Директор"
"Isabelle","Albert","25.11.1992","Менеджер"
"Gloria","Jarvis","20.11.1977","Уборщик"
"Myrtle","Brooks","17.02.1987","Кассир"
"Newton","Porter","03.10.1999","Менеджер"
"Antony","Nichols","04.10.1976","Консультант"
"Fredric","Schmidt","23.07.1977","Консультант"
"German","Wilder","07.02.1990","Менеджер"
"Merrill","Mcclain","27.05.1971","Консультант"
"Morris","Harrington","21.04.1992","Консультант"
"Esteban","Dawson","06.06.1985","Менеджер"
"Williams","Mcfadden","20.10.1993","Уборщик"
"Allyson","Barber","06.03.1982","Консультант"
"Rickie","Pratt","10.03.1971","Менеджер"
"Stacey","David","18.04.1997","Уборщик"
"Jerrold","Taylor","20.03.1998","Менеджер"
"Evelyn","Horton","12.11.1982","Уборщик"
"Robert","Cleveland","09.04.1976","Кассир"
"Dorthy","Kent","12.02.2004","Консультант"
"Rosetta","Wilkinson","19.03.2004","Менеджер"
"Janie","Soto","05.09.1995","Консультант"
"Antoinette","Weiss","19.09.2003","Менеджер"
"Abdul","Kirkland","02.06.1990","Кассир"
"Ana","Meyer","31.12.2003","Уборщик"
"Domingo","Gilmore","02.05.2004","Кассир"
"Jan","Maldonado","05.10.1992","Кассир"
"Sharon","Oliver","29.10.1996","Менеджер"
"Ronnie","Maynard","08.08.1991","Кассир"
"Patti","Lewis","07.09.1974","Уборщик"
"Nancy","Downs","04.03.1995","Уборщик"
"Loyd","Wall","02.07.1984","Кассир"
"Adrian","Carr","19.08.2001","Менеджер"
"Carmela","Vasquez","01.07.1995","Менеджер"
"Briana","Hudson","02.11.1990","Уборщик"
"Janette","Mcguire","28.06.1974","Уборщик"
"Araceli","Bean","05.08.2001","Консультант"
"Christy","Morgan","26.04.1989","Кассир"
"Napoleon","Wyatt","19.04.1982","Уборщик"
"Jimmie","Peterson","12.03.2004","Кассир"
"Leonard","Montgomery","26.05.2001","Уборщик"
